region,date,C.36*,alpha,beta,delta,gamma,others,sequences,cases
5,2020-09-04,0,0,0,0,0,0,0,94
5,2020-09-05,0,0,0,0,0,1,1,67
5,2020-09-06,0,0,0,0,0,0,0,33
5,2020-09-07,0,0,0,0,0,4,4,125
5,2020-09-08,0,0,0,0,0,5,5,97
5,2020-09-09,0,0,0,0,0,3,3,102
5,2020-09-10,0,0,0,0,0,2,2,114
5,2020-09-11,0,0,0,0,0,0,0,113
5,2020-09-12,0,0,0,0,0,0,0,59
5,2020-09-13,0,0,0,0,0,0,0,21
5,2020-09-14,0,0,0,0,0,0,0,101
5,2020-09-15,0,0,0,0,0,0,0,95
5,2020-09-16,0,0,0,0,0,0,0,117
5,2020-09-17,0,0,0,0,0,0,0,100
5,2020-09-18,0,0,0,0,0,0,0,94
5,2020-09-19,0,0,0,0,0,0,0,67
5,2020-09-20,0,0,0,0,0,0,0,35
5,2020-09-21,0,0,0,0,0,0,0,77
5,2020-09-22,0,0,0,0,0,0,0,86
5,2020-09-23,0,0,0,0,0,0,0,86
5,2020-09-24,0,0,0,0,0,0,0,47
5,2020-09-25,0,0,0,0,0,7,7,110
5,2020-09-26,0,0,0,0,0,0,0,65
5,2020-09-27,0,0,0,0,0,0,0,31
5,2020-09-28,0,0,0,0,0,2,2,91
5,2020-09-29,0,0,0,0,0,5,5,130
5,2020-09-30,0,0,0,0,0,5,5,181
5,2020-10-01,0,0,0,0,0,11,11,198
5,2020-10-02,0,0,0,0,0,1,1,227
5,2020-10-03,0,0,0,0,0,0,0,184
5,2020-10-04,0,0,0,0,0,0,0,58
5,2020-10-05,0,0,0,0,0,0,0,266
5,2020-10-06,0,0,0,0,0,0,0,261
5,2020-10-07,0,0,0,0,0,13,13,341
5,2020-10-08,0,0,0,0,0,30,30,385
5,2020-10-09,0,0,0,0,0,0,0,465
5,2020-10-10,0,0,0,0,0,0,0,320
5,2020-10-11,0,0,0,0,0,1,1,164
5,2020-10-12,0,0,0,0,0,0,0,633
5,2020-10-13,0,0,0,0,0,1,1,679
5,2020-10-14,0,0,0,0,0,4,4,806
5,2020-10-15,0,0,0,0,0,8,8,758
5,2020-10-16,0,0,0,0,0,0,0,898
5,2020-10-17,0,0,0,0,0,2,2,595
5,2020-10-18,0,0,0,0,0,0,0,307
5,2020-10-19,0,0,0,0,0,1,1,1276
5,2020-10-20,0,0,0,0,0,1,1,1361
5,2020-10-21,0,0,0,0,0,1,1,1562
5,2020-10-22,0,0,0,0,0,0,0,1448
5,2020-10-23,0,0,0,0,0,13,13,1614
5,2020-10-24,0,0,0,0,0,4,4,1142
5,2020-10-25,0,0,0,0,0,1,1,530
5,2020-10-26,0,0,0,0,0,13,13,2228
5,2020-10-27,0,0,0,0,0,2,2,2130
5,2020-10-28,0,0,0,0,0,8,8,2130
5,2020-10-29,0,0,0,0,0,0,0,1852
5,2020-10-30,0,0,0,0,0,9,9,1871
5,2020-10-31,0,0,0,0,0,4,4,1038
5,2020-11-01,0,0,0,0,0,0,0,555
5,2020-11-02,0,0,0,0,0,16,16,2136
5,2020-11-03,0,0,0,0,0,31,31,2028
5,2020-11-04,0,0,0,0,0,28,28,1856
5,2020-11-05,0,0,0,0,0,1,1,1553
5,2020-11-06,0,0,0,0,0,21,21,1644
5,2020-11-07,0,0,0,0,0,52,52,803
5,2020-11-08,0,0,0,0,0,37,37,502
5,2020-11-09,0,3,0,0,0,47,50,1904
5,2020-11-10,0,0,0,0,0,25,25,1580
5,2020-11-11,0,0,0,0,0,9,9,1443
5,2020-11-12,0,0,0,0,0,47,47,1266
5,2020-11-13,0,0,0,0,0,10,10,1304
5,2020-11-14,0,0,0,0,0,1,1,679
5,2020-11-15,0,0,0,0,0,12,12,528
5,2020-11-16,0,0,0,0,0,54,54,1756
5,2020-11-17,0,0,0,0,0,4,4,1501
5,2020-11-18,0,0,0,0,0,6,6,1360
5,2020-11-19,0,0,0,0,0,6,6,1258
5,2020-11-20,0,0,0,0,0,3,3,1232
5,2020-11-21,0,0,0,0,0,19,19,679
5,2020-11-22,0,0,0,0,0,36,36,457
5,2020-11-23,0,0,0,0,0,48,48,1624
5,2020-11-24,0,0,0,0,0,6,6,1373
5,2020-11-25,0,0,0,0,0,17,17,1326
5,2020-11-26,0,0,0,0,0,19,19,1143
5,2020-11-27,0,0,0,0,0,12,12,1372
5,2020-11-28,0,0,0,0,0,21,21,704
5,2020-11-29,0,0,0,0,0,11,11,478
5,2020-11-30,0,0,0,0,0,63,63,1790
5,2020-12-01,0,0,0,0,0,23,23,1428
5,2020-12-02,0,0,0,0,0,49,49,1568
5,2020-12-03,0,0,0,0,0,24,24,1397
5,2020-12-04,0,0,0,0,0,12,12,1624
5,2020-12-05,0,0,0,0,0,3,3,820
5,2020-12-06,0,0,0,0,0,0,0,612
5,2020-12-07,0,0,0,0,0,31,31,2131
5,2020-12-08,0,0,0,0,0,40,40,1884
5,2020-12-09,0,0,0,0,0,37,37,1690
