,date,division,pangolinLineage,submittingLab,count
25205,2021-10-03,Geneva,AY.7.2,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
25206,2021-09-17,Bern,B.1.617.2,Microbiology_DrRisch_Buchs,1
25207,2021-04-07,Bern,B.1.36.35,"Department of Biosystems Science and Engineering, ETH Zürich",1
25208,2021-03-07,Vaud,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",6
25209,2021-09-10,Bern,AY.4,"Institute for Infectious Diseases, University of Bern",1
25210,2020-10-21,Basel-Stadt,B.1.160,"University Hospital Basel, Clinical Bacteriology",2
25211,2021-08-16,Aargau,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",41
25212,2021-01-26,Lucerne,B.1.177.44,"Department of Biosystems Science and Engineering, ETH Zürich",1
25213,2021-04-09,Sankt Gallen,B.1.351,"Microbiology, Dr. Risch",1
25214,2021-05-06,Ticino,B.1.1.7,,11
25215,2021-02-23,Zürich,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",10
25216,2021-08-15,Bern,AY.5,Institute for Infectious Diseases,2
25217,2021-01-11,Basel-Land,B.1.160.19,"Department of Biosystems Science and Engineering, ETH Zürich",2
25218,2020-09-07,Zürich,B.1.1.39,"Department of Biosystems Science and Engineering, ETH Zürich",1
25219,2021-09-09,Vaud,AY.23,Laboratory of genomics and metagenomics,1
25220,2021-09-09,Ticino,AY.9,Laboratorio di Microbiologia,1
25221,2021-07-28,Vaud,AY.39,Clinical Bacteriology,1
25222,2021-09-01,Zürich,AY.7.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
25223,2021-02-25,Geneva,B.1.177.81,"HUG, Laboratory of Virology and the Health2030 Genome Center",1
25224,2021-10-07,Fribourg,B.1.617.2,"Department of Biosystems Science and Engineering, ETH Zürich",1
25225,2021-01-12,Sankt Gallen,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",1
25226,2021-02-01,Thurgau,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",2
25227,2021-08-21,Ticino,AY.7.2,Laboratorio di Microbiologia,1
25228,2020-11-08,Solothurn,B.1.236,"Department of Biosystems Science and Engineering, ETH Zürich",2
25229,2020-11-24,Geneva,B.1.160.16,"Department of Biosystems Science and Engineering, ETH Zürich",1
25230,2021-08-29,Solothurn,AY.4,"Department of Biosystems Science and Engineering, ETH Zürich",6
25231,2020-12-17,Zürich,B.1.177.44,"Department of Biosystems Science and Engineering, ETH Zürich",5
25232,2021-03-01,Schwyz,B.1.1.7,"Department of Biosystems Science and Engineering, ETH Zürich",1
25233,2020-03-10,Basel-Land,B,,1
25234,2020-12-21,Aargau,B.1.177,"Department of Biosystems Science and Engineering, ETH Zürich",4
25235,2020-03-31,Switzerland,B.1.1,"Department of Biosystems Science and Engineering, ETH Zürich",10
25236,2020-03-16,Basel-Land,B.1.1,"University Hospital Basel, Clinical Bacteriology",2
25237,2021-08-30,Geneva,AY.10,"HUG, Laboratory of Virology and the Health2030 Genome Center",2
25238,2021-01-09,Schwyz,B.1.160,"Department of Biosystems Science and Engineering, ETH Zürich",2
25239,2020-10-27,Basel-Land,B.1.1.70,"University Hospital Basel, Clinical Bacteriology",1
25240,2020-12-25,Aargau,B.1.36.1,"Department of Biosystems Science and Engineering, ETH Zürich",1
25241,2020-08-04,Bern,B.1.1.232,"Department of Biosystems Science and Engineering, ETH Zürich",1
25242,2021-07-18,Ticino,AY.7.2,Laboratorio di Microbiologia,1
25243,2020-05-04,Aargau,B.1,"Institute of Medical Virology, University of Zurich",2
25244,2021-08-19,Sankt Gallen,AY.23,Institute of Medical Virology,1
25245,2021-07-31,Basel-Stadt,AY.4,Clinical Bacteriology,2
25246,2021-08-13,Ticino,B.1.617.2,Laboratorio di Microbiologia,3
